Sl.no,Stations, Amenities,Platforms -HL/ML/RL,No. of Platforms (Length of Each PF),Foot over bridge (with Ramp or Steps),Drinking water taps (PF wise),Seating Arrangement (no. of passenger/PF),Platform Shelter ((PF wise: in sqm),Urinals (including W/R's & Pay & Use Toilet),Latrines,Toilet Facility/Pay & Use toilet in Circulating area,No. of Pay & Use toilet units (Platform wise),GPS Clock,Water Cooler/RO Palnt PF wise,Dustbins (Dry & Wet In Pairs),Announcement System (Computerised/Manual),2 Wheeler Parking (Capacity),4 Wheeler Parking (Capacity),Pre Paid Taxi/Auto Booth,100ft tall National flag in Circulating area,No. of Daily Trains (Ordinary & Express) (---- / ----),No. of non-daily Trains (Ordinary & Express) (---- / ----),No. of functional UTS Counters,No. of functional PRS Counters,Ladies/Sr.Citizen/PWD (Divyangjan) UTS Counter (Yes/No),No. of ATVM available,No. of ATVM Facilitators,Enquiry Counter (Yes/No),Current Reservation Facility (Yes/No),No. of Coaches of Longest stopping train,Paid Lounge (A/C),Paid Lounge (Non-A/C),Waiting Hall/Ticketing area,Retiring Room Nos. (AC),Retiring Room Nos. (Non AC),Dormitoty for Gents (No. of Beds),Dormitoty for Ladies (No. of Beds),Parcel Office (Yes/No),No. of Staffs at PO,Parcel Packing: Available or not,Reserved/VIP Lounge (Seating Capacity),Upper Class Waiting Room (Seating Capacity),AC Waiting Room (Seating Capacity),General Waiting Room (Seating Capacity),Ladies Waiting Room (Seating Capacity),Baby feeding Corner (Yes/No),Free Medical Emergency Centre / Ambulance: Name of Hospital backed by,First Aid Provision,Pharmacy,Battery Operated Cars (Nos. & Tariff per Passenger),Wheel Chair (Nos.),Trolley Path (Available at 1 end or Both Or not available),Divyang Toilet,Water sink/pedestal for PWD (Divyangjan) (atleast 1 unit),No. of Railway Sahayak (Licensed porters),No. of Catering stall (PF Wise),No. of Milk stall (PF Wise),No. of Multipurpose stall (PF Wise),Ticket Checking staffs strength,OSOP stall (Location & Commodity),No. of Book stall (PF Wise),TTDC,HPMC,Food Plaza (IRCTC),Jana Aahar (IRCTC),Fast Food Unit (IRCTC),Refreshment Room (IRCTC),VRR/NVRR,Electronic Train indicator Board,Electronic Coach Indication Board,RDN Video Wall (Nos. with Location),Manual Coach Indication Board,RDN CCTV (Train Arr./Dep.),Wi-Fi Facility (Yes/No),Lifts with Location/PF No.,Escalator with Location/PF No.,Brailee Signage (Station Map & Plates),ATM Facility,GRP out post,RPF post,SBI Card KIOSK,Gaming Zone,Cleanliness of Station (DEnHM or Station Imprest),Cloak Room,Subway,Mobile charging points,Bottle Crusher
1,SBC,NSG-1,HL,10,"Old FOB (Steps) Mys End, New FOB(ramp) SBC End",PF-1=26; PF-2/3=14 PF-4=14; PF-5/6=36 PF-7/8=29; PF-9/10=18,PF-1=379; PF-2/3=324 PF-4 = 154; PF-5/6 =554 PF-7/8 = 520; PF-9/10 =213,PF-1 =5800; PF-2/3=4380; PF-4 =3000;PF-5/6=8100; PF-7/8=3400; PF-9/10 =2610,PF-1 =4 PF-2/3=2 PF-4 =2; PF-5/6=4 PF-7/8=4; PF-9/10 =2,PF-1=8 PF-2/3=4 PF-4=4 PF-5/6=8 PF-7/8=7 PF-9/10=6,yes,"10 units. (PF 1, 2/3,4,5,6, 7 /8, 10, PRS, II Entry, main entry",,PF 8-1,200,Both,main entry - 1100. second entry -1000. metro side -250,main entry - 120. second entry - 55,yes,yes,25/104,Sep-66,16,8,yes,10,28,yes,yes,24+1 (Tr no. 12786),Yes,Yes,Yes,24,7,41,12,yes,40,Available,"main entry -12, second entry - 12",75,PF-1: 45. second entry - 33,85,30,yes,FMEC with ambulance available: Manipal Hospital,Yes,Yes,Battery car -10. Rs.12/- per passenger,10,Available at both end,Available. At PF No.01,Available,284,"PF 1 - 2, PF 2/3- 2, PF 4- 1, PF 5- 3, PF 6- 1, PF-7/8- 1, PF 9/10- 2","Concourse: 2. PF-1: 2, PF-5: 1, PF-7/8: 2, PF-9/10: 2","PF 1 - 1, PF 2/3- 2, PF 5- 1, PF-7/8- 2, PF 9/10- 1",29 (station ),circulating area: Channapatna toys,"PF 1 - 1, Concourse - 1",available at concourse area,1,Yes,Yes,Yes,no,No,Yes,Yes,"circulating area, concourse, PF 1, 2/3, 5/6, 7/8. second entry",No,Available,yes,"PF No. 01, PF No. 8","PF No.1,2/3,4,5,7/8.9/10",yes,yes,yes,yes,yes,yes,DEnHM,yes,yes,yes,yes
2,YPR,NSG-2,HL,6,2,PF-1 =14 PF2/3=18 PF-4/5=23 PF-6=21,PF-1 =351; PF2/3 =264 PF-4/5 =282; PF-6 =378,PF-1=4250; PF-2/3 =3600 PF-4/5 =5000; PF-6 =4800,PF-1=8; PF-2/3 =2 PF-4/5 =Nil; PF-6=10,PF-1=13 PF2/3=7 PF-4/5=1 PF-6=16,Yes,"PF-1-1
PF 2/3-1PF-6-1 & circulating area -1",Yes,5,100,Yes,"Available PF-1, (2500 sqm ) & 6 (2060 sqm)",Available PF 1&6,No,Yes,16/56,4/106,6,2+2PCC,No,6,8,Yes,Yes,23(11311),Yes,No,Yes,2,4,12,No,Yes,18,Yes,PF-1 (6)& 6 (25),PF-1 -24,No,PF-1(45) PF-6(30),18,No,No,Available with SMR,No,6 (Rs20),6,Available at both ends,yes,Yes,30,8,4,3,23,PF-6 handicrafts,PF-6-2,No,No,Yes,Yes,Yes,No,No,Yes,Yes,PF-1-1 PF-6-1 circulating area PF-1side -2 PF-6side -2 FOB-2,Yes,60,Yes,4,5,Yes,Yes,Yes,Tes,Yes,Ni,DEnHM,Yes,No,No,Yes
3,BNC,NSG-3,HL,"PF1-576, PF2- 567, PF1A-540, PF3-477",FOB with steps,PF-1 = 6; PF-1A=16 PF-2 = 26,PF-1=206 PF-1A=24 PF-2 = 424,PF-1=2628 PF-2=3360,PF-1=15 PF-2=5,PF-1 = 15 PF-2 = 10,Yes,"PF1-1, PF2-1, Circulating Area-1",Yes,"PF1-1, PF2-2",70,Computerised,"PF1-500, PF2-500","PF1-200, PF2-25",Yes,No,17 / 53,Apr-23,4,4,Yes,2,1,No,Yes,24+Eng (12658),No,No,Yes,No,No,No,No,No,Nil,No,No,8,No,"PF1-33, PF2-40",PF1-15,No,No,Yes,No,No,4,BNCE end,"Yes (PF1-1, PF2-1)",Yes,Yes,"PF1-1, PF2-3, PF1A-2","PF1-1, PF2-3","PF1-1, PF2-1",15,PF1-1,NO,NO,NO,PF1-1,No,PF2-1,No,No,No,"PF-1, PF-2","Circulating area-2, Concourse -1",No,Yes,Yes,No,No,Yes,"Yes, Main entrance PF-1 side",Yes,Yes,Yes,NO,DEnHM,No,No,Yes (waiting rooms),Yes
4,BWT,NSG-3,HL,"pf 1/2= 570 , pf 3/4 570 & pf 5/6 = 570",FOB with steps,PF-1/2=10; PF-3/4=22 PF-5/6=8,PF-1/2=87; PF-3/4=288 PF-5/6=67,PF-1/2=1056; PF-3/4=3060 PF-5/6=596,PF-1/2=Nil; PF-3/4=3 PF-5/6=6,PF-1/2=Nil; PF-3/4=5 PF-5/6=Nil,Yes,Pf 1/2 = 1 / Pf 3/4 = 1 uit Concourse near BO 1 unit,Yes,"1/2 = 1 3/4 = 2, 5/6 -= 1",50,Computerised,4082.04 (acquired 400 sqm by Rly),2233.10 (acquird 1050 or RLDA),No,No,Ordy 26 / Exp 27,Ordy 05 / Exp 48,3,1,Yes,1,nil,No,No,24 + 1,No,No,Yes,No,No,No,No,No,Nil,No,No,20,No,44,32,No,No,Yes (On duty SM),No,No,3,!@ Coucourse,Yes Pf 5/6,Yes,8 on roll/ 5 absent,Pf 3 & 4 - 3,Pf 3 & 4 - 2,Nil,2,Concourse (Mi;llets),No,No,No,No,No,No,No,Yes (ITRCT),No,Yes on pf 04 only,Yet to instal,Yes on pf 03,Yes,Yes,No,Work in progress pf 3/4 & exit,No,No,Yes,Yes,No,No,DenHM,No,No,No,No
5,KGI,NSG-3,HL,"P.F..1-530 P.F..2&3-626, P.F..4-548",FOB with steps,PF-1=8 PF-2/3=10 PF- 4=Nil,PF-1=110 PF-2/3=328 PF-4=6,PF-1=324; PF-2/3=2508 PF-4=224,PF-1=4 PF-2/3=4 PF-4=Nil,PF-1=4 PF-2/3=4 PF-4=Nil,No,"P.F.No.1 - 1 unit, P.F.No.2&3 - 1 unit",yes,P.F.1-2 P.F.No.2&3 -2,50,computerised,450(899 sqm),20 vehicles (316 sqm),No,No,"4 pairs pass, 24 pairs Exp",05 pairs,3,1,Yes,2,6,No,No,T.No.16022 (23),No,No,available,No,No,No,No,No,Nil,No,No,No,No,30,No,Yes,No,available with Onduty SM,No,No,3,1 end (SBC end available),available on P.F.No.1,available,Nil,"P.F.No1-1, P.F.No.2-1","P.F.No1-1, P.F.No.2-1",P.F.No.2-1,1,P.F.No.1 (CPT toys),No,No,No,No,No,1,No,no,No,Yes on P.F.No.2&3,No,No,available,Yes,No,No,No,No,No,No,No,No,DEnHM,No,No,yes,No
6,KJM,NSG-3,HL,"PF1- 360 PF2/3-540, PF4-560",FOB with steps,PF-1=12; PF-2&3=20; PF-4 = 18,PF-1 = 16;PF-2&3 = 494 PF-4 = 666,PF-1 = 200;PF-2&3=1820 PF-4 = 1920,PF-1=Nil PF-2/3=Nil PF-4=7,PF-1=Nil PF-2/3=Nil PF-4=11,No,PF4-1unit,Yes,"PF2/3-1, PF4-2",45,Computerised,PF1-150 PF4-400,PF4-45,No,No,18 / 34,Feb-66,"PF1-2, PF4-2",PF4-3,No,"PF1-1, PF2-1",2,No,Yes,25+E,No,No,No,No,No,No,No,No,Nil,No,No,No,No,20,20,Yes,No,Yes,No,No,3,Yes (SBC end),Yes (PF-4),Yes,18,"PF2/3-2, PF4-2","PF2/3-3, PF4-2",PF2/3-2,10,Yes (PF-4),PF2/3-1,No,No,Yes (PF-4),No,No,No,No,No,"Yes (PF-2, PF-4)","Yes (PF-4,PF2/3)",No,Yes,Yes,No,No,No,Yes (PF4 side),No,Yes,"Yes (PF2/3, PF4)",No,DEnHM,No,No,Yes (Waiting Rooms),Yes
7,MYA,NSG-3,HL,P.F.No.369 P.F.No.2&3-554,FOB with steps,PF-1 =22 PF-2/3=25,PF-1=204 PF-2/3 =312,PF-1= 602 PF-2/3=2008,PF-1= 4 PF-2/3=4,PF-1= 4 PF-2/3=2,No,1 unit on P.F.No.1,Yes,P.F.1-2 P.F.No.2&3 -2,30,Manual,950-1000 2344 sqm,111 sqm,No,available,"3 pairs pass, 25 pairs Exp",09 pairs,3,1,yes,2,4,No,No,T.No.16022 (23),No,No,yes,No,1,No,No,No,Nil,No,No,No,No,30,No,Yes,No,Available with onduty SM,No,No,3,both end not available,available on P.F.No.1,Yes,on roll 1 /1 absent,"concousre -1,P.F.No.2-1",P.F.No.2-1,P.F.No.2-1,1,P.F.No.1 kodiyala saree,No,No,No,No,No,No,No,VRR No.1,No,No,No,yes,Yes,Yes,No,work in progress P.F.No.2&3,available,No,Yes,Yes,No,No,Station Imprest,No,No,Yes,No
8,CPT,NSG-4,,"P.F.No.1-549, P.F.No2&3-552",FOB with steps,PF-1=7 PF-2/3=9,PF-1=242 PF-2/3=208,PF-1=992 PF-2/3=1100,PF-1=4 PF-2/3=Nil,PF-1=4 PF-2/3=Nil,No,Toilet on P.F.No.1,,,25,Manual,896 sqm,No,No,No,4 pairs pass &12 exp pairs,01 pair,1 (IUTS),0,No,2,3,No,No,T.No.16022 (23),No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Available with onduty SM,No,No,2,both end available,avaible on P.F.No.1,Yes,NO,1 on P.F.No.1,Nil,Nil,0,No,No,no,No,No,No,Nio,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Station imprest,No,No,Yes,No
9,HSRA,NSG-4,HL,,Yes (with steps),PF-1=36 PF-2/3=18,PF-1=335 PF-2/3=213,PF-1=840 PF-2/3=880,PF-1=5 PF-2/3=Nil,PF-1=6 PF-2/3=Nil,No,(pf 1: One),YES,"Pf 1:2, PF 2:2 (water cooler)",25,Both,990.3 Sq.m,,No (Demand is there),No,(1/8) pairs,(0/5) pairs,2,1,Yes (Same counter is uses for AMC ),2,0,No,No,"23 coaches (11013/14, 17235/36)",No,No,Yes,No,2 (Furniture not available),No,No,No,No,No,No,No,No,Yes,No,No,No,Available with Onduty SM,No,No,2,SBC end,Yes,Yes (PF-1),No,"(PF-1:1, PF-2/3:2)",(PF 1:1/PF 2/3:2),PF 1:1,4,No,No,No,NO,NO,No,No,No,No,No,PF 2,No,No,Yes,Yes,Sanctioned,No,yes,No,Yes,No (1 staff from DPJ Post),No,No,Station Imprest,No,No,Yes,No
10,HUP,NSG-4,HL,PF#1 - 600 PF#2&3 - 600 PF#4 - 570,FOB with steps,PF1=20 PF2&3=6 PF4=14,PF-1=192 PF-2&3=16 PF-4=324,PF-1=648 PF-2&3=1136 PF-4=1600,PF1-2 PF2&3-Nil PF4-NIL,PF1-8 PF2&3-Nil PF4-NIL,NO,PF#1 - 1,YES,PF#1 - 2 (WATER COOLER),40,COMPUTERISED,1200 SQM,,NO,NO,(02/11) PAIRS,(00/21),2,1,NO,2,1,NO,NO,24+1 (Tr no. 12786),NO,NO,YES,NO,NO,NO,NO,NO,NIL,NO,12,NO,NO,16,16,YES,NO,WITH ON DUTY SM,NO,NO,2,AVAILABLE BOTH ENDS,YES,YES,"3(2 ABSENT, 1 DEMISED)",1,1,1,3,1 (MUDDIREDDYPALLI SAREES),NIL,NO,NO,NO,NO,NO,NO,NO,YES,YES (AT ENTRANCE),NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,Station imprest,NO,NO,YES,NO
11,KPN,NSG-4,HL,pf 01 = 561 pf 02-= 561,FOB with steps,PF-1=9 PF-2=12,PF-1=86 PF-2=68,PF-1=1288 PF-2=875,PF-1=2 PF-2=Nil,PF-1=5 PF-2=Nil,Yes,Pf 1 = one Pf 2 = nil,Yes,Water cooler 1,25,Manual,2677.64 sqm,145.35 sqm,No,No,Ordy 05/Exp 27,Ordy 00/Exp 07,1,1,No,1,2,No,No,21,No,No,No,No,No,No,No,No,No,No,No,40,No,24,No,No,No,With on dutySM,No,No,2,One end JTJ side,Yes,Yes,2 / 1 absent,1,1,No,No,1 (Millets),No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes 1 each in pf 1 & 2,No,No,No,Yes,No,No,No,No,No,No,No,No
12,MLO,NSG-4,HL,pf 1/2 =578 pf 3/4 = 576,FOB with steps,PF-1/2=8 PF-3/4=8,PF-1/2=83 PF-3/4=123,PF-1/2=566 PF-3/4=420,PF-1/2=2 PF-3/4=3,PF-1/2=4 PF-3/4=2,No,nil,Yes,Water cooler 1,25,Manual,2400 sqm,nil,No,No,Ordy 21/Exp 14,Ordy 00/Exp 03,1,1,No,1,1,No,No,21,No,No,No,No,No,No,No,No,No,No,No,No,No,30,No,No,No,With on dutySM,No,No,2,No,Yes,Yes,Nil,1,1,No,No,Nil,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13,RMGM,NSG-4,HL,"1-546,2&3-547,4-682",FOB with steps,PF-1=6 PF-2/3=12 PF-4=6,PF-1=112 PF-2/3=152 PF-4=12,PF-1=960 PF-2/3=1050 PF-4=288,PF-1=3 PF-2/3=2 PF-4=Nil,PF-1=4 PF-2/3=4 PF-4=Nil,No,P.F.No.2&3,Yes,1,40,Manual,1101 sqm,No,No,Yes,,,1,1,No,1,1,No,No,16022(23),No,No,Yes,No,No,No,No,No,No,No,No,No,No,30,30,Yes,No,Available with onduty SM,No,No,2,both end available,Yes,Yes,No,1 on P.F.No.2&3,P.F.No1-1& P.F.No.2-1,Nil,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,station Imprest,No,No,Yes,No
14,SSPN,NSG-4,HL,PF#1- 555 PF#2&3 - 555 PF#4 - 425,FOB with steps,PF1 =58 PF2&3=32 PF4=16,PF1=430 PF2&3=316 PF4= 52,PF1=1628 PF2&3=1552,PF-1=3 PF-2/3=Nil PF-4=2,PF-1=6 PF-2/3=Nil PF-4=4,NO,PF#1 - 1,YES,PF#1 - 2 (WATER COOLER),60,COMPUTERISED,1200 SQM,,NO,YES,(01/08) PAIRS,(00/05)PAIRS,1,1,NO,NIL,NIL,NO,NO,24,NO,NO,YES,5,1,NO,NO,NO,NIL,NO,01 (O6),NO,NO,YES (30),YES (30),YES,NO,Available with onduty SM,NO,NO,2,Available Both sides,YES,YES,10 (4 ABSENT),NIL,NIL,NIL,NO,1 (OILS),1,NO,NO,NO,NO,NO,NO,NO,YES,YES (AT ENTRANCE),NO,YES,YES,YES,Yes 1 each in pf 1 & 2,NO,NO,NO,YES,YES,NO,NO,Station imprest,NO,NO,YES,NO
15,TK,NSG-4,HL,"1,2/3 &4-540mtrs,1A-320mtr",Yes Steps,PF-1 =10 PF-2=10 PF-3/4=24 PF-5=20,PF-1 = 30 PF-2=30 PF-3/4=60 PF-5=30,PF-1 =765 PF-2= 650 PF-3/4=1300 PF-5=650,PF-1=2,PF-1=4,Yes,1 PF-1,Yes,1,40,Yes,Yes (2056Sqm),No,No,Yes,Aug-46,0/40,3,1,No,2,,No,No,22 (16227),No,No,Yes,No,1,No,No,Yes,1,No,No,No,No,Yes (30),Yes (24),No,,No,No,No,2,Tes,yes,No,1,1,2,2,2,1-Dry coconut,No,No,No,No,No,No,No,,No,No,No,No,20,Yes,"PF-1-1
PF-2/3-1",No,No,No,Yes,Yes,No,No,SMR,No,No,No,No
16,WFD,NSG-4,HL,"PF1/2-545, PF3/4-550",FOB with steps,PF-1/2=13 PF-3/4=26,PF-1/2=415 PF-3/4=300,PF-1/2=494 PF-3/4=680,"PF-1/2=6, PF-3/4=Nil Concourse Area-2","PF-1/2=7,PF-3/4=Nil, Concourse Area-4",No,"PF1/2-2 units, Concourse Area-1 unit",Yes,Yes (PF1/2-1),40,Computerised,300,30,No,No,18 / 24,2-Aug,2,2,No,Nil,Nil,No,No,,No,No,Yes,No,No,No,No,No,Nil,No,No,10,No,9,No,No,No,Yes,No,No,2,Available Both sides,Yes,Yes,2,PF1/2-1,"PF1/2-2, PF3/4-1",Nil,Nil,No,Nil,NO,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Station imprest (SM),No.,No,Yes (waiting Rooms),No
