SN,PROJECTID,Year of Sanction,Date of sanction,Short Name of Work,Station,Block section Station,ALLOCATION,Current Cost,Expenditure upto date,Financial Progress,ENGG. REMARKS (as on 06.08.24),IF UB?,PARENT WORK,Section,Remarks as on 14/06/24
91,14.01.53.23.1.53.013,2023-2024,Dy.CE/GS/SBC/13/2023 dt.31/08/2023,"SBC Division- Construction of 12m wide FOB at KJM, WFD, MLO, BWT and KPN stations under ABSS Ph-I.","KJM, WFD, MLO, BWT, KPN ",SEC: Stn: KJM,Cap.,370050,914,0.25,"EEngineering: All the FOB GAD sent to Hd.Qrs approved 12m Wide FOB at KPN: Excavation work at second entry started 12m Wide FOB at MLO: Excavation & PCC @ main entry & second entry completed, Barbending in progress 
updated on : 05/09/2024",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),Gati Sakthi,"KJM. FOB work not yet started due to ongoing works.
WFD. FOB work not yet started due to ongoing works.
BWT : Foundation Work is in progress.
MLO. FOB raft completed, column work in progress.
KPN. 12 mtr FOB excavation and PCC work completed at 2nd entry."
92,14.01.53.23.1.53.014,2023-2024,Dy.CE/GS/SBC/14/2023 dt.31/08/2023,"SBC Division- Construction of 12m wide FOB at KGI, CPT, MYA, RMGM and DPJ stations under ABSS Ph-I","KGI, CPT, MYA, RMGM, DPJ",SEC: Stn: MYA,Cap.,324021,2500,0.77,"Engineering: All the FOB GAD sent to Hd.Qrs approved. KGI - FOB main columns excavation work is in progress at PF No.4 12m Wide FOB at KGI: PF 1 PCC earthwork & raft reinforcement completed. 12m Wide FOB at CPT: Gangway main stanchion footing at PF:1 completed 12m Wide FOB at RMGM: PF 4 earthwork work in progress. 
updated on : 05/09/2024",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),Gati Sakthi,"MYA : FOB wide 12 m not yet started. 
CPT : 12 mtr wide FOB raft completed.
RMGM. 12 meter FOB RCC completed at PF No 4 is completed 
KGI. FOB at PF No 4 foundation work completed and at PF No 1 Excavation foundation levelling column is in progres
DPJ. FOB work tentative layout marking completed, work not yet started."
93,14.01.53.23.1.53.015,2023-2024,20/05/2023,Provision of CIB at 8 Amrit Bharat Stations over SBC Division,Combined,SEC: Stn:,Cap.,46069,19896,43.19,,Y,"SWR- Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Phase -II) (Umbrella work 2023-24)",Gati Sakthi,"50% of materials received. Platform shelter work is in progress at RMGM,CPT,HSRA,DPJ, MLO, WFD, MWM & DBU stns by GSU. TDC 28.02.2025"
94,14.01.53.23.3.00.003,2023-2024,18/12/2023,Bangalore city - Mysore - Provision of STP Tank of 50KLD capacity at KGI Station.,KGI,SEC:SBC-MYS Stn: SBC,Cap.,12665,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,SWR-Comprehensive sewage treatment plant (Phase-II) (Umbrella work 2023-24),west,Tender under finalisation. TDC for tender finalization: 15.12.2024. LOA issued on 23.12.2024
95,14.01.53.23.3.00.004,2023-2024,18/12/2023 (GM/SWR),Bangalore city - Jolarpettai - Provision of STP Tank of 25KLD capacity at KPN station in ADEN/BWT sub-division,KPN,SEC:SBC-JTJ Stn: SBC,Cap.,10117,0,0,"Detailed Estimate under vetting. 
upated on : 15/05/2024",Y,SWR-Comprehensive sewage treatment plant (Phase-II) (Umbrella work 2023-24),east,Work under progress. 10% complete. TDC for work completion: 31.03.2025.
96,14.01.53.23.3.00.005,2023-2024,16.01.2024,Chickbanawar - Hassan - Construction of platform toilet at PF - 1 of SBGA station,SBGA,SEC:BAW-HAS Stn: BAW,Cap.,882,0,0,"DE sanctioned on 27.05.24. LOA awarded on 05/07/24. Work is in progress.
updated on : 06/08/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,work in progress. 30% progress as on date. TDC for work completion: 15.02.2025
97,14.01.53.23.3.00.006,2023-2024,27.02.2024,SBC-SA Sec: Raising and Extension of PF at PCV (PF-1: 70m Ext & PF-2: 560m Raising) and MZU (Extension of PF-1 & 2 by 160m each),MZU,SEC:SBC-SA Stn: SBC,Cap.,19369,0,0,"DE sanctioned on 25.04.24. LOA awarded on 25/06/24. Work is in progress. Estimate for TRD works is being prepared , once TRD work is done Engg work will be completed.
updated on : 06/08/2024",,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,Civil work completed. TRD tender to be called by 15.12.2024
98,14.01.53.23.3.00.007,2023-2024,11/03/2024 (GM/SWR),"Bangalore city - Sampige road - Construction of toilets for Divyang persons at HEI, MLSA, GBB, NTR, SPGR & YNK","HEI, MLSA, GBB, NTR, SPGR & YNK",SEC:SBC-SPGR Stn: SBC,Cap.,5373,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",,"SWR- Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift & quick watering system) (Phase-II) (Umbrella work 2023-24)",north,"LOA issued on 05/09/2024
Nidavanda & Gubbi - Excavation completed, Brick work is in progress, In Gubbi, Excavation in progress. DBL, Excavation in progress. 
For remaining Stations, joint inspection required to be carried out. Once joint inspection completed work will start."
99,14.01.53.23.3.00.008,2023-2024,19/03/2024,Bangalore city - Provision of Tactile tiles from circulating area to all the platforms for Divyang persons & Improvements to PF surface at SBC,SBC,SEC: Stn: SBC,Cap.,20005,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",west,"LOA issued on 23/10/2024, Work to be started. TDC 30.03.2025"
100,14.01.53.23.3.00.009,2023-2024,19/03/2024,Bangalore city - Salem jn - Construction of FOB at Sivadi (SZV) station.,SZV,SEC:SBC-SA Stn: SBC,Cap.,24403,0,0,"GAD for FOB prepared and sent HQ. HQ commented that doubling in HSRA-OML section is in progress, hence GAD to be made including the additional new tracks which is not possible under present sanction. hence, present FOB work has been proposed for deletion. 
updated on : 06/08/2024",Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),South,"Revised estimate sent for approval, currently with CBE/SWR for approval"
101,14.01.53.23.3.00.010,2023-2024,19/03/2024,Bangalore city - Salem jn - Construction of FOB at Toppur (TPP) station.,TPP,SEC:SBC-SA Stn: SBC,Cap.,24325,0,0,"GAD for FOB prepared and sent HQ. HQ commented that doubling in HSRA-OML section is in progress ,hence GAD to be made including the additional new tracks which is not possible under present sanction. hence, present FOB work has been proposed for deletion. 
updated on : 06/08/2024",Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),South,"Revised estimate sent for approval, currently with CBE/SWR for approval"
102,14.01.53.23.3.00.011,2023-2024,19/03/2024 (GM/SWR),Bangalore city - Tumkur - Construction of FOB at Muddalinganahalli (MDLL) Station,MDLL,SEC:SBC-TK Stn: SBC,Cap.,24040,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),north,"LOA issued on 23/09/2024. Foundation level work in progress, 20% work completed"
103,14.01.53.23.3.00.012,2023-2024,28/03/2024,Bangalore city~~Provision of 2 Nos of escalators at SBC PF No.7/8 on BNC end FOB,SBC,SEC: Stn: SBC,Cap.,24538,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,SWR - Provision of 04 Nos escalators at Railway stations over Indian Railways with average footfall more than 25000 per day (PB No.1183/NR/2022-23),west,"Engg: LOA issued 15/11/2024
Elec: Indent sent to HQ for approval"
104,14.01.53.23.3.00.013,2023-2024,27/03/2024,Bangalore city - Salem jn - SBC-SA Sec : Construction of FOB at Periyanagathunai (PRNT ) station,PRNT,SEC:SBC-SA Stn: SBC,Cap.,24563,0,0,"GAD for FOB prepared and sent HQ. HQ commented that doubling in HSRA-OML section is in progress ,hence GAD to be made including the additional new tracks which is not possible under present sanction. hence, present FOB work has been proposed for deletion. 
updated on : 06/08/2024",Y,SWR - Provision of foot over bridges and/or high-level platforms at stations (Phase - II) (Umbrella Work 2022-23),South,"Revised estimate sent for approval, currently with CBE/SWR for approval"
105,14.01.53.23.3.00.014,2023-2024,30/03/2024,SBC-SA Sec : Construction of FOB at Palakkodu (PCV) station,PCV,SEC:SBC-SA Stn: SBC,Cap.,24946,0,0,"GAD for FOB prepared and sent HQ. HQ commented that doubling in HSRA-OML section is in progress ,hence GAD to be made including the additional new tracks which is not possible under present sanction. hence, present FOB work has been proposed for deletion. 
updated on : 06/08/2024",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),South,"Revised estimate sent for approval, currently with CBE/SWR for approval"
106,14.01.53.23.3.00.015,2023-2024,30/03/2024 (GM/SWR),Bangalore city - Mysore - Construction of FOB at Nidaghatta (NZH) Halt Station connecting Platform No. 1 & 2,NXH,SEC:SBC-MYS Stn: SBC,Cap.,15981,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,SWR-Provision of foot over bridges and/or high-level platforms at stations (Phase - III) (Umbrella Work 2023-24),north,LOA issued on 15/11/2024. TDC for work completion: May 2025
107,14.01.53.23.3.00.016,2023-2024,30/03/2024,Bangalore city - Mysore - Construction of Divyangjan facilities in ADEN/MYA Sub - Division,MYA,SEC:SBC-MYS Stn: SBC,Cap.,17021,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",west,LOA issue on 11/10/2024. Agency not responding. To be reviewed and terminated if required.
108,14.01.53.23.3.00.017,2023-2024,30/03/2024,Bangalore city - Mysore - Extension of High level platforms to operate 24 coach length trains at BID & MAD Stations.,"BID, MAD",SEC:SBC-MYS Stn: SBC,Cap.,7522,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",west,Tender opening on 01/01/25
109,14.01.53.23.3.00.018,2023-2024,30/03/2024,"Chickbanawar - Hassan - Extension of HL platform at NMGA (PF-1 by 140 mtr), KIGL (PF-1,2&3 by 20mtr) & YY (PF-1,2&3 by 40mtr)","NMGA, KIGL, YY",SEC:BAW-HAS Stn: BAW,Cap.,15287,0,0,"DE sanctioned on 07.05.2024. LOA awarded on 05/07/24. Work in progress. Estimate for TRD works is being prepared , once TRD work is done Engg work will be completed. 
updated on : 05/09/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,"NMGA-30% work completed, Messendry (SSM) is in progress , concrete & tiles work is awaiting TDC : 31.01.25 .

KIGL - Vegetation uprooting & concrete work is in progress (10%) TDC 31.03.2025"
110,14.01.53.23.3.00.019,2023-2024,30/03/2024,"Chickbanawar - Hassan - Extension of HL platform at BGNR, HISE, SBGA & CNPA and compound wall at CNPA stn","BGNR, HISE, SBGA, CNPA",SEC:BAW-HAS Stn: BAW,Cap.,22914,0,0,"DE sanctioned on 07.05.24. LOA awarded on 05.07.2024. Work is in progress. Estimate for TRD works is being prepared , once TRD work is done Engg work will be completed 
updated on : 06/08/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",South,"JCB work relevant to digging & clearance is in progress, Waterlogging happenned due to presence of pond beside the station, ADEN instruted to wait for one month for clearance water naturally. Work ASAP will start on dry up of water in the construction area.
TDC 30.06.25"
111,14.01.53.23.3.00.020,2023-2024,31/03/2024,Bangalore city – Provision of covered shelter & granite flooring at open area between PF 7 & 8 at SBC Station.,SBC,SEC: Stn: SBC,Cap.,24896,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",west,Tender to be called. Detailed estimate vetted from Finance received on 23.12.2024
112,14.01.53.23.3.00.021,2023-2024,31/03/2024,"SBC Div: Provision of Divyangjan facilities like toilet, drinking waterbooth, railing, trolleypath etc. at 19 stations in ADEN/YPR Sub Div",Combined,SEC: Stn: SBC,Cap.,16795,0,0,"Detailed Estimate under vetting. 
updated on :15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",div,"LOA issued on 05/09/2024, 
JNidavanda & Gubbi & DBL - Trolley path (10%) work in progress. 
Nettur, YNK,.Trolley path work in progress (10%)."
113,14.01.53.23.3.00.022,2023-2024,31/03/2024,Bangalore city - Renovation to Pay and use toilets including divyangjan toilets and renovation of booking office (3rd Entry) at SBC Station,SBC,SEC: Stn: SBC,Cap.,15631,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",Y,"SWR - Minimum essential amenities & facilities for Divyangjan at stations (other than telecom, lift, escalators & quick watering system) (Phase-2) (Umbrella Work 2022-23)",west,"LOA issued on 21/10/2024, Sites for construction have been identified, work will start from next week"
114,14.01.53.23.3.53.001,2023-2024,15/05/2023,Replacement of Coach Guidance Boards at 2 Amrit Bharat Stations over SBC Division.,SBC,SEC: Stn:,Cap.,11871,4995,42.08,,Y,"SWR- Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenity items (Phase -II) (Umbrella work 2023-24)",Gati Sakthi,"At KJM PF No: 4 commissined. At PF No:2 Platform widening work is in progress. At KGI (PF No:2&3) Platform shelter work is in progress, executing by GSU. (TDC: Two months after completion of platform shelter work by GSU)"
115,14.01.53.23.3.53.002,2023-2024,15/05/2023,"Provision of Passenger Lifts in Bangarapet Junction, Malur and Dharmapuri Stations of SBC division under Amrit Bharath Scheme - Phase I","BWT,MLO,DPJ",SEC: Stn:,Cap.,14081,0,0,,Y,SWR-Major Upgradation of Railway Stations on Indian Railways(Phase-IV) (Umbrella work 2023-24),Gati Sakthi,Firm has submitted a letter to confirm the steel structure stability. Same has been forwarded to engineering GSU for remarks.
116,14.01.53.23.4.50.001,2023-2024,14.08.2023,"SBC-SPGR Sec: Extension of HL Platform at GHL station ( PF 1: 50m SBC end, PF 2/3 : 180m SBC end & 40m TK end) : Total 370 mtr.",GHL,SEC:SBC-SPGR Stn: SBC,RRSK,16766,147,0.88,"Detailed Estimate sectioned. LOA issued on 21.12.2023. Work is in progress. 
updated on : 15/05/2024",N,,north,Work is in Progress. PF walling units casted.
117,14.01.53.23.4.50.002,2023-2024,17/08/2023,"Bangalore city - Provision of Pay & use Toilet at YNK, BAND, SET & BID stations","YNK, BAND, SET, BID",SEC: Stn: SBC,DF(1),6369,0,0,"Detailed Estimate sanctioned on 03.11.2023.Tender to be called.
updated on : 15/05/2024 .",N,,div,"SET & BID LOA is issued on 15.11.2024
YNK work completed. BAND LOA would be issued by 31.12.2024"
118,14.01.53.23.4.50.003,2023-2024,29/09/2023,OHE modification works due to platform extension at NYH station towards MYS end,NYH,SEC:SBC-MYS Stn: SBC,RRSK,1478,0,0,"Detailed Estimate under preparation. 
updated on : 15/05/2024",,,west,Tender awarded on 14/10/2024
119,14.01.53.23.4.50.004,2023-2024,29/09/2023,Bangalore city~~Provision of Passenger Lift at PF- 9/10 on BNC end FOB of SBC station,SBC,SEC: Stn: SBC,RRSK,7233,0,0,"Detailed Estimate under vetting. 
updated on: 15/05/2024",N,,west,"Engg: LOA issued on 15/11/2024
Elec: Indents sent to HQ"
120,14.01.53.23.4.50.005,2023-2024,31.10.2023,Bangalore city - Sampige road - Construction of FOB at Dobbespet (DBS) station,DBS,SEC:SBC-SPGR Stn: SBC,RRSK,23259,0,0,"Detailed estimate sanctioned. Tender opening on 19.02.2024. 
updated on : 15/05/2024",N,,north,"Foundation under progress, TDC: 30.04.2025"
121,14.01.53.23.4.50.006,2023-2024,31/10/2023,"YPR station - Pro. Covering of Open Drain of PF No. 3, PF No.4 & PF No. 5/6",YPR,SEC: Stn: YPR,RRSK,12621,0,0,"Detailed Estimate sanctioned. LOA issued on 16.01.2024. 
updated on : 15/05/2024 
.",N,,north,Commisioned
122,14.01.53.23.4.50.007,2023-2024,31/10/2023,Bangalore city~~Provision of Passenger Lift to FOB connecting Metro SKY walk on back side of SBC station,SBC,SEC: Stn: SBC,RRSK,7506,0,0,"Estimate under preparation
updated on : 15/05/2024",N,,west,Engg: LOA issued on 15/11/2024 Elec: Indents sent to HQ for approval
123,14.01.53.23.4.50.008,2023-2024,31/10/2023,Provision of Passenger Lift at PF- 5/6 on BNC end FOB of SBC station,SBC,SEC: Stn: SBC,RRSK,9500,0,0,"Detailed estimate under preparation 
updated on : 15/05/2024",N,,west,Engg: LOA issued on 15/11/2024 Elec: Indents sent to HQ for approval
124,14.01.53.23.4.50.009,2023-2024,13.11.2023,SBC-SPGR Sec: Provision of Pay & Use toilet at Chickbanawar (BAW) station,BAW,SEC: Stn: BAW,RRSK,1490,49,3.29,"Detailed Estimate sanctioned. LOA issued on 16.01.2024. 
updated on : 15/05/2024",N,,north,Finishing work under progress.TDC: 30.11.2024
125,14.01.53.23.4.50.011,2023-2024,28/12/2023,SBC-MYS Sec: Improvements to Road -5 loading and unloading area from km 62/300-900 & Construction of merchant room at SET yard,SET,SEC:SBC-MYS Stn: SBC,RRSK,24823,0,0,"Detailed estimate sanctioned on 16.01.2024.tender under finalization. 
updated on : 15/05/2024",N,,west,LOA issued on 15/11/2024. Permission for closing Goodshed from HQ to be obtained to carry out the work immediately.
126,14.01.53.23.4.50.012,2023-2024,25/01/2024,"SBC Division - Provision of Emergency Medical box (Medicines, Surgical consumables, Instruments & Equipment) for 10 stations in SBC div",SBC,SEC: Stn: SBC,RRSK,2683,0,0,"Detailed Estimate sanctioned. Indent under process. 
updated on : 15/05/2024",N,,div,Requisite Medical boxes were received through ICICI bank under CSR. Revised requirement from Medical department would be taken from CMS for processing indents. To be dropped.
127,14.01.53.23.4.50.013,2023-2024,28/03/2024,Construction of Waiting Hall & provision of RDSO type shelter on PF 1 & PF 2 at GDP station,GDP,SEC:SBC-JTJ Stn: SBC,RRSK,6250,0,0,"Detailed Estimate under vetting. 
updated on : 15/05/2024",N,,east,LOA issued on 23.10.2024. TDC for work completion: 30.04.2025
128,14.01.53.23.4.50.014,2023-2024,28/03/2024,Bangalore Div - Provision of Stainless steel Dustbins (Dry/Wet) at Railway Stations over SBC Division,SBC,SEC: Stn: SBC,RRSK,17595,0,0,"etailed Estimate under preparation. 
updated on : 15/05/2024",N,,div,"LOA issued. Waiting for SD, PO will be issued after receiving SD"
129,14.01.53.24.3.00.002,2023-24,8/5/24,SBC-MYS Sec : Construction of FOB at Kettohalli (KHLL) Halt Station connecting Platform No. 1 & 2,KHLL,CAP,CAP,16671,0,0,Newly sanctioned,,,,LOA issued on 14/10/2024 work in progress. TDC for work completion: May 2025
130,14.01.53.24.3.00.001,2023-24,8/5/24,Bangalore city - Sampige road - Extension of High level platforms to operate 24 coach length trains at BAW Station.,SPGR,CAP,CAP,9574,0,0,Newly sanctioned,,,,LOA issued on 20/11/24. Material mobilization is being done. TDC for work completion: 31.07.2025
131,14.01.53.24.3.003,2024-25,15/05/2024,"Procurement of Parcel scanning machines for the use of parcel office at SBC, YPR & SMVB Parcel office.","SBC, YPR, SMVB",2024-25,CAP,11997,0,0,"Parcel scanning machines received on 21/11/24, installation under progress",,,,"Parcel scanning machines received on 21/11/24, installed at parcel office."
132,14.01.53.24.3.004,2024-25,3/6/24,Quick Watering facility at YNK Station of 2 lines at PF - 3 & 4,YNK,,CAP,33659,0,0,Newly sanctioned,,,,"Extention of Pipes to Platform is in process, Pumhouse foundation work is in progess, Pumphouse to station platform, earthwork excavation for laying of pipes is in progress. 90% work completed. TDC: 31.01.2025"
133,14.01.53.24.3.00.005,2024-25,5/6/24,Major upgradation/modernisation of infrastructure at NDV goods shed,NDV,,CAP,166342,0,0,Newly sanctioned,,,,LOA issed on 15.11.2024. work to be started.
134,14.01.53.24.3.00.006,2024-25,8/7/24,Bangalore city - Mysore - Extension of FOB at Bidadi (BID) Station with extension of booking office,BID,,CAP,27064,0,0,Newly sanctioned,,,,Tender opened on 09/12/2024
136,14.01.53.24.3.008,2024-25,12/9/24,Replacement of existing old steel water tank with new OHT of 2 lakh litre capacity with GLR at Tumkur (TK) station,TK,,CAP,11790,,,Newly sanctioned,,,,LOA issued on 20/11/2024. Foundation work in progress
137,14.01.53.24.3.008,2024-25,4/10/24,SBC Division: Tumkur :-Major upgradation of Tumkur station.,TK,,CAP,884100,,,Newly sanctioned,,,,
138,14.01.53.24.3.00.009,2024-25,21/10/2024,"Const. of New booking office, waiting hall & retiring rooms/dormitory & Const. of dormitory at existing service building at SMVB",SMVB,,CAP,171607,,,Newly sanctioned,,,,Detailed estimate receiced vetting from Finance on 23.12.2024
139,14.01.53.24.1.00.002,2024-25,29/10/2024,Penukonda~~Major upgradation/modernisation of infrastructure at PKD goods shed,PKD,,CAP,204374,,,Newly sanctioned,,,,"Detailed estimate has to be prepared by GSU Unit, TDC 08.01.2025"
140,14.01.53.24.3.00.010,2024-25,30/10/2024,"Bangalore city~~Jolarpettai~~Provision of public information & directional/guidance board over SBC-MYS, SBC-DMM & SBC-JTJ sections",Combined,,CAP,12517,,,Newly sanctioned,,,,Detailed Estimate preparation. Signage layut plan is prepared and approved from DRM on 23.12.2024. Tender would be called by 31.12.2024
141,14.01.53.24.3.00.011,2024-25,12/11/24,Modernization of Gubbi Railway Station under Amrit bharat Station Scheme,GBB,,CAP,166048,,,Newly sanctioned,,,,Detailed Estimate under vetting
142,14.01.53.24.3.00.012,2024-25,31/12/2024,Provision of Escalators in SBC division under Amrith Bhrath Scheme (Additional 23 Nos.),Combined,,CAP,159249,,,,,,,Newly Sanctioned